model,rank,trainable_params,total_params,trainable_percent,accuracy,precision,recall,spam_f1,macro_f1,training_time_sec
LoRA r=4,4,665858,67620868,0.9846930684178736,0.9864603481624759,0.9833333333333333,0.9076923076923077,0.944,0.9681496149614961,561.6932842731476
LoRA r=8,8,739586,67694596,1.0925332946813067,0.9903288201160542,0.9838709677419355,0.9384615384615385,0.9606299212598425,0.9775586210488849,597.1878981590271
LoRA r=16,16,887042,67842052,1.307510568813573,0.9922630560928434,1.0,0.9384615384615385,0.9682539682539683,0.9819243409551779,588.3700339794159
LoRA r=32,32,1181954,68136964,1.734673708091837,0.9941972920696325,1.0,0.9538461538461539,0.9763779527559056,0.986535172629331,593.7497339248657
